dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.5119519999999986,119.28044800000002,117.906,119.962,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.5860640000000013,118.63167199999981,115.76,119.44,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5256319999999999,118.06079999999986,113.776,119.236,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5210159999999995,117.67535199999996,111.748,119.152,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.4943360000000008,117.40661600000007,110.172,118.732,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.5730880000000003,117.38360799999992,108.592,119.152,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.5741359999999998,117.17032000000006,108.26799999999999,118.506,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.5514720000000026,117.02275199999991,108.26400000000001,118.272,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5135040000000015,116.87653600000002,107.76800000000003,118.732,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.472584000000001,117.27214400000007,108.83200000000001,120.0,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.5259759999999976,117.0065279999999,109.44800000000004,118.72800000000001,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.5011679999999985,117.34743999999998,107.736,119.264,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.4642159999999984,117.05090400000014,106.552,119.196,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.4799680000000006,117.10052800000004,111.216,118.184,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.4623600000000012,117.497848,109.45599999999999,119.016,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.587212999999999,117.78473599999992,109.01700000000001,120.0,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,1.781429999999998,117.2596939999999,106.40700000000001,118.96375,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,1.923756999999998,117.18260799999996,103.81300000000002,120.0,120.0,0.0,0.0,0.0,0.0,0.0
19,0.6,2.1326040000000015,116.90861699999999,100.24900000000002,120.0,120.0,0.0,0.0,0.0,0.0,0.0
20,0.6499999999999999,2.2872850000000033,116.35506,99.4635,120.0,120.0,0.0,0.0,0.0,0.0,0.0
