dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q50,SW_q95,I_media,I_q05,I_q50,I_q95,Prob_irrig
1,0.4,1.794528000000005,118.97760000000007,117.4,119.552,120.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.8648880000000025,118.138272,114.812,119.11200000000001,120.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.8017440000000027,117.24510399999997,112.608,118.016,120.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.7866160000000038,116.37756000000009,110.21199999999999,116.56400000000001,120.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.785816000000003,115.5607199999999,108.58000000000001,115.56799999999998,120.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.8007839999999966,114.99349600000008,106.81200000000001,115.77199999999999,120.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.8460079999999974,114.84294399999997,105.15200000000002,116.792,120.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.7977599999999998,114.38613600000006,103.08400000000002,117.328,120.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.7627600000000019,114.1025760000001,101.77999999999997,116.992,120.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.818856000000001,113.913192,99.54799999999997,117.908,120.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.7793919999999983,113.32170400000015,97.45999999999998,117.05199999999999,120.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.7205440000000025,113.37011200000003,95.88399999999999,116.292,120.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.7279680000000002,113.30715200000004,94.88399999999999,117.412,120.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.707512,113.1624080000001,93.45199999999998,116.76,120.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.7189759999999972,113.18348800000001,91.44399999999999,118.152,120.0,0.0,0.0,0.0,0.0,0.0
16,0.45,1.9216259999999974,112.81915900000001,89.32399999999998,117.44899999999998,120.0,0.0,0.0,0.0,0.0,0.0
17,0.5,2.0641999999999983,112.22041700000001,85.68899999999998,115.9265,120.0,0.0,0.0,0.0,0.0,0.0
18,0.55,2.2864820000000017,111.65119799999988,84.09149999999998,114.957,120.0,0.0,0.0,0.0,0.0,0.0
