date,year,month,value
1966-04-01,1966,4,-0.3000
1966-05-01,1966,5,-0.7000
1966-06-01,1966,6,0.5000
1966-07-01,1966,7,0.1000
1966-08-01,1966,8,1.1000
1966-09-01,1966,9,-0.4000
1966-10-01,1966,10,-0.2000
1966-11-01,1966,11,-0.0000
1966-12-01,1966,12,-0.6000
1967-01-01,1967,1,2.8000
1967-02-01,1967,2,2.8000
1967-03-01,1967,3,2.0000
1967-04-01,1967,4,-0.1000
1967-05-01,1967,5,-0.0000
1967-06-01,1967,6,1.1000
1967-07-01,1967,7,0.3000
1967-08-01,1967,8,1.2000
1967-09-01,1967,9,0.8000
1967-10-01,1967,10,0.1000
1967-11-01,1967,11,-0.7000
1967-12-01,1967,12,-0.9000
1968-01-01,1968,1,0.9000
1968-02-01,1968,2,2.1000
1968-03-01,1968,3,0.2000
1968-04-01,1968,4,0.0000
1968-05-01,1968,5,2.1000
1968-06-01,1968,6,1.8000
1968-07-01,1968,7,1.1000
1968-08-01,1968,8,0.4000
1968-09-01,1968,9,-0.4000
1968-10-01,1968,10,-0.1000
1968-11-01,1968,11,-0.6000
1968-12-01,1968,12,0.3000
1969-01-01,1969,1,-2.4000
1969-02-01,1969,2,-0.9000
1969-03-01,1969,3,0.7000
1969-04-01,1969,4,-0.6000
1969-05-01,1969,5,-0.4000
1969-06-01,1969,6,0.3000
1969-07-01,1969,7,-0.8000
1969-08-01,1969,8,-0.2000
1969-09-01,1969,9,-1.6000
1969-10-01,1969,10,-1.5000
1969-11-01,1969,11,-0.1000
1969-12-01,1969,12,0.7000
1970-01-01,1970,1,-1.9000
1970-02-01,1970,2,-1.7000
1970-03-01,1970,3,1.0000
1970-04-01,1970,4,-0.1000
1970-05-01,1970,5,0.6000
1970-06-01,1970,6,1.6000
1970-07-01,1970,7,-0.6000
1970-08-01,1970,8,1.0000
1970-09-01,1970,9,1.9000
1970-10-01,1970,10,1.7000
1970-11-01,1970,11,2.6000
1970-12-01,1970,12,3.2000
1971-01-01,1971,1,0.6000
1971-02-01,1971,2,3.3000
1971-03-01,1971,3,3.8000
1971-04-01,1971,4,2.8000
1971-05-01,1971,5,1.4000
1971-06-01,1971,6,0.7000
1971-07-01,1971,7,0.4000
1971-08-01,1971,8,2.5000
1971-09-01,1971,9,2.3000
1971-10-01,1971,10,2.8000
1971-11-01,1971,11,0.9000
1971-12-01,1971,12,0.4000
1972-01-01,1972,1,0.8000
1972-02-01,1972,2,1.8000
1972-03-01,1972,3,1.1000
1972-04-01,1972,4,-0.2000
1972-05-01,1972,5,-2.6000
1972-06-01,1972,6,-0.9000
1972-07-01,1972,7,-2.4000
1972-08-01,1972,8,-0.8000
1972-09-01,1972,9,-2.2000
1972-10-01,1972,10,-1.5000
1972-11-01,1972,11,-0.6000
1972-12-01,1972,12,-2.1000
1973-01-01,1973,1,-0.5000
1973-02-01,1973,2,-2.3000
1973-03-01,1973,3,1.2000
1973-04-01,1973,4,0.1000
1973-05-01,1973,5,0.7000
1973-06-01,1973,6,1.8000
1973-07-01,1973,7,1.0000
1973-08-01,1973,8,2.1000
1973-09-01,1973,9,2.0000
1973-10-01,1973,10,1.3000
1973-11-01,1973,11,4.3000
1973-12-01,1973,12,3.0000
1974-01-01,1974,1,4.0000
1974-02-01,1974,2,3.4000
1974-03-01,1974,3,4.0000
1974-04-01,1974,4,1.6000
1974-05-01,1974,5,1.6000
1974-06-01,1974,6,0.7000
1974-07-01,1974,7,1.9000
1974-08-01,1974,8,1.3000
1974-09-01,1974,9,1.8000
1974-10-01,1974,10,1.5000
1974-11-01,1974,11,-0.2000
1974-12-01,1974,12,0.3000
1975-01-01,1975,1,-0.8000
1975-02-01,1975,2,1.3000
1975-03-01,1975,3,2.6000
1975-04-01,1975,4,1.9000
1975-05-01,1975,5,1.1000
1975-06-01,1975,6,2.1000
1975-07-01,1975,7,3.1000
1975-08-01,1975,8,3.3000
1975-09-01,1975,9,3.4000
1975-10-01,1975,10,2.8000
1975-11-01,1975,11,1.9000
1975-12-01,1975,12,3.5000
1976-01-01,1976,1,2.3000
1976-02-01,1976,2,2.8000
1976-03-01,1976,3,2.9000
1976-04-01,1976,4,0.5000
1976-05-01,1976,5,0.6000
1976-06-01,1976,6,0.4000
1976-07-01,1976,7,-1.4000
