date,year,month,value
1957-04-01,1957,4,-0.0600
1957-05-01,1957,5,0.0100
1957-06-01,1957,6,-0.3800
1957-07-01,1957,7,-0.5500
1957-08-01,1957,8,-0.0400
1957-09-01,1957,9,-0.1100
1957-10-01,1957,10,0.0200
1957-11-01,1957,11,0.0700
1957-12-01,1957,12,0.3400
1958-01-01,1958,1,0.7300
1958-02-01,1958,2,0.9300
1958-03-01,1958,3,0.6700
1958-04-01,1958,4,0.2700
1958-05-01,1958,5,0.0700
1958-06-01,1958,6,0.0200
1958-07-01,1958,7,-0.0600
1958-08-01,1958,8,-0.1400
1958-09-01,1958,9,-0.1500
1958-10-01,1958,10,0.0100
1958-11-01,1958,11,-0.0200
1958-12-01,1958,12,0.1100
1959-01-01,1959,1,0.0500
1959-02-01,1959,2,-0.2100
1959-03-01,1959,3,-0.3200
1959-04-01,1959,4,-0.1800
1959-05-01,1959,5,-0.2600
1959-06-01,1959,6,-0.4500
1959-07-01,1959,7,-0.6300
1959-08-01,1959,8,-0.5400
1959-09-01,1959,9,-0.5600
1959-10-01,1959,10,-0.4400
1959-11-01,1959,11,-0.6600
1959-12-01,1959,12,-0.5100
1960-01-01,1960,1,-0.7000
1960-02-01,1960,2,-0.7500
1960-03-01,1960,3,-0.5700
1960-04-01,1960,4,-0.6200
1960-05-01,1960,5,-0.5000
1960-06-01,1960,6,-0.6400
1960-07-01,1960,7,-0.7500
1960-08-01,1960,8,-0.7200
1960-09-01,1960,9,-0.7100
1960-10-01,1960,10,-0.6000
1960-11-01,1960,11,-0.3800
1960-12-01,1960,12,-0.1300
1961-01-01,1961,1,-0.3500
1961-02-01,1961,2,-0.4100
1961-03-01,1961,3,-0.5300
1961-04-01,1961,4,-0.7200
1961-05-01,1961,5,-0.6400
1961-06-01,1961,6,-0.5100
1961-07-01,1961,7,-0.7100
1961-08-01,1961,8,-0.8700
1961-09-01,1961,9,-0.7000
1961-10-01,1961,10,-0.9300
1961-11-01,1961,11,-0.6100
1961-12-01,1961,12,-0.5400
1962-01-01,1962,1,-0.6600
1962-02-01,1962,2,-0.6600
1962-03-01,1962,3,-0.5600
1962-04-01,1962,4,-0.5900
1962-05-01,1962,5,-0.8000
1962-06-01,1962,6,-0.5900
1962-07-01,1962,7,-0.7700
1962-08-01,1962,8,-0.8100
1962-09-01,1962,9,-0.8500
1962-10-01,1962,10,-0.8200
1962-11-01,1962,11,-0.8000
1962-12-01,1962,12,-0.8000
1963-01-01,1963,1,-0.8600
1963-02-01,1963,2,-0.7200
1963-03-01,1963,3,-0.3500
1963-04-01,1963,4,-0.3400
1963-05-01,1963,5,-0.5100
1963-06-01,1963,6,-0.6500
1963-07-01,1963,7,-0.2800
1963-08-01,1963,8,0.0000
1963-09-01,1963,9,0.2400
1963-10-01,1963,10,0.2300
1963-11-01,1963,11,0.0100
1963-12-01,1963,12,0.0000
1964-01-01,1964,1,0.0900
1964-02-01,1964,2,-0.1500
1964-03-01,1964,3,-0.6400
1964-04-01,1964,4,-0.6100
1964-05-01,1964,5,-0.7100
1964-06-01,1964,6,-1.0300
1964-07-01,1964,7,-1.1100
1964-08-01,1964,8,-1.3700
1964-09-01,1964,9,-1.7100
1964-10-01,1964,10,-1.6200
1964-11-01,1964,11,-1.7400
1964-12-01,1964,12,-1.6000
1965-01-01,1965,1,-1.0900
1965-02-01,1965,2,-0.7600
1965-03-01,1965,3,-0.7500
1965-04-01,1965,4,-0.9200
1965-05-01,1965,5,-0.4100
1965-06-01,1965,6,-0.0900
1965-07-01,1965,7,0.0100
1965-08-01,1965,8,0.1200
1965-09-01,1965,9,0.1200
1965-10-01,1965,10,0.5100
1965-11-01,1965,11,0.4100
1965-12-01,1965,12,0.3300
1966-01-01,1966,1,0.3800
1966-02-01,1966,2,0.4400
1966-03-01,1966,3,0.7600
1966-04-01,1966,4,0.1700
1966-05-01,1966,5,-0.0600
1966-06-01,1966,6,-0.0400
1966-07-01,1966,7,0.0800
1966-08-01,1966,8,-0.2100
1966-09-01,1966,9,-0.1900
1966-10-01,1966,10,-0.0800
1966-11-01,1966,11,-0.0500
1966-12-01,1966,12,-0.3300
1967-01-01,1967,1,-0.7200
1967-02-01,1967,2,-0.7800
1967-03-01,1967,3,-0.5000
1967-04-01,1967,4,-0.1900
1967-05-01,1967,5,-0.1500
1967-06-01,1967,6,-0.3900
1967-07-01,1967,7,-0.3800
1967-08-01,1967,8,-0.4700
1967-09-01,1967,9,-0.5600
1967-10-01,1967,10,-0.4300
1967-11-01,1967,11,-0.3600
1967-12-01,1967,12,-0.3900
1968-01-01,1968,1,-0.4600
1968-02-01,1968,2,-0.4700
1968-03-01,1968,3,-0.5700
1968-04-01,1968,4,-0.4600
1968-05-01,1968,5,-0.6000
1968-06-01,1968,6,-0.0900
1968-07-01,1968,7,-0.3400
1968-08-01,1968,8,-0.2100
1968-09-01,1968,9,-0.1900
1968-10-01,1968,10,-0.0700
1968-11-01,1968,11,0.4000
1968-12-01,1968,12,0.6300
1969-01-01,1969,1,0.9200
1969-02-01,1969,2,1.0800
1969-03-01,1969,3,0.6300
1969-04-01,1969,4,0.4000
1969-05-01,1969,5,0.3300
1969-06-01,1969,6,-0.0400
1969-07-01,1969,7,-0.1700
1969-08-01,1969,8,0.1300
1969-09-01,1969,9,0.4000
1969-10-01,1969,10,0.5600
1969-11-01,1969,11,0.4900
1969-12-01,1969,12,0.3900
1970-01-01,1970,1,0.2100
1970-02-01,1970,2,0.2900
1970-03-01,1970,3,0.0100
1970-04-01,1970,4,-0.0500
1970-05-01,1970,5,-0.0900
1970-06-01,1970,6,-0.3500
1970-07-01,1970,7,-0.4600
1970-08-01,1970,8,-0.9000
1970-09-01,1970,9,-1.1100
1970-10-01,1970,10,-1.1700
1970-11-01,1970,11,-1.1300
1970-12-01,1970,12,-1.5000
1971-01-01,1971,1,-1.6700
1971-02-01,1971,2,-1.3800
1971-03-01,1971,3,-1.3100
1971-04-01,1971,4,-1.1700
1971-05-01,1971,5,-1.0700
1971-06-01,1971,6,-1.1400
1971-07-01,1971,7,-1.2000
1971-08-01,1971,8,-1.2500
1971-09-01,1971,9,-1.4600
1971-10-01,1971,10,-1.3200
1971-11-01,1971,11,-0.9800
1971-12-01,1971,12,-0.6800
1972-01-01,1972,1,-0.6900
1972-02-01,1972,2,-0.3100
1972-03-01,1972,3,-0.1600
1972-04-01,1972,4,0.1100
1972-05-01,1972,5,0.1100
1972-06-01,1972,6,0.1000
1972-07-01,1972,7,0.1300
1972-08-01,1972,8,-0.0400
1972-09-01,1972,9,0.1100
1972-10-01,1972,10,0.4000
1972-11-01,1972,11,0.5300
1972-12-01,1972,12,0.6700
1973-01-01,1973,1,0.6700
1973-02-01,1973,2,0.4000
1973-03-01,1973,3,0.0100
1973-04-01,1973,4,-0.3700
1973-05-01,1973,5,-0.4300
1973-06-01,1973,6,-0.8200
1973-07-01,1973,7,-1.0500
1973-08-01,1973,8,-1.3500
1973-09-01,1973,9,-1.4900
1973-10-01,1973,10,-1.6500
1973-11-01,1973,11,-1.9200
1973-12-01,1973,12,-2.0400
1974-01-01,1974,1,-2.0200
1974-02-01,1974,2,-1.4800
1974-03-01,1974,3,-1.1500
1974-04-01,1974,4,-1.2000
1974-05-01,1974,5,-1.1400
1974-06-01,1974,6,-1.0800
1974-07-01,1974,7,-1.1600
1974-08-01,1974,8,-0.8200
1974-09-01,1974,9,-1.0500
1974-10-01,1974,10,-1.2300
1974-11-01,1974,11,-1.1400
1974-12-01,1974,12,-1.1200
1975-01-01,1975,1,-0.7100
1975-02-01,1975,2,-0.5500
1975-03-01,1975,3,-0.8600
1975-04-01,1975,4,-0.9900
1975-05-01,1975,5,-1.1500
1975-06-01,1975,6,-1.4300
1975-07-01,1975,7,-1.5300
1975-08-01,1975,8,-1.7600
1975-09-01,1975,9,-2.0500
1975-10-01,1975,10,-2.2100
1975-11-01,1975,11,-2.1100
1975-12-01,1975,12,-2.1500
1976-01-01,1976,1,-1.7400
1976-02-01,1976,2,-1.3000
1976-03-01,1976,3,-0.9800
1976-04-01,1976,4,-0.8200
1976-05-01,1976,5,-0.7700
1976-06-01,1976,6,-0.7600
1976-07-01,1976,7,-0.7200
1976-08-01,1976,8,-0.6200
1976-09-01,1976,9,-0.5000
1976-10-01,1976,10,-0.0300
1976-11-01,1976,11,0.0900
1976-12-01,1976,12,-0.2500
1977-01-01,1977,1,-0.1000
1977-02-01,1977,2,-0.1500
1977-03-01,1977,3,-0.2300
1977-04-01,1977,4,-0.2300
1977-05-01,1977,5,-0.3500
1977-06-01,1977,6,-0.1700
1977-07-01,1977,7,-0.0600
1977-08-01,1977,8,-0.0800
1977-09-01,1977,9,0.1900
1977-10-01,1977,10,0.2800
1977-11-01,1977,11,0.3200
1977-12-01,1977,12,0.4100
1978-01-01,1978,1,0.4000
1978-02-01,1978,2,0.1900
1978-03-01,1978,3,-0.1400
1978-04-01,1978,4,-0.5900
1978-05-01,1978,5,-0.4000
1978-06-01,1978,6,-0.5600
1978-07-01,1978,7,-0.6200
1978-08-01,1978,8,-0.5900
1978-09-01,1978,9,-0.4800
1978-10-01,1978,10,-0.5600
1978-11-01,1978,11,-0.3900
1978-12-01,1978,12,-0.1700
1979-01-01,1979,1,0.0400
1979-02-01,1979,2,-0.1100
1979-03-01,1979,3,-0.0200
1979-04-01,1979,4,-0.0200
1979-05-01,1979,5,-0.1800
1979-06-01,1979,6,-0.2400
1979-07-01,1979,7,-0.2000
1979-08-01,1979,8,-0.4500
1979-09-01,1979,9,-0.2900
1979-10-01,1979,10,-0.1800
1979-11-01,1979,11,0.1200
1979-12-01,1979,12,0.2900
1980-01-01,1980,1,0.3700
1980-02-01,1980,2,0.3600
1980-03-01,1980,3,0.1900
1980-04-01,1980,4,0.1400
1980-05-01,1980,5,0.2600
1980-06-01,1980,6,0.1600
1980-07-01,1980,7,0.0200
1980-08-01,1980,8,-0.2900
1980-09-01,1980,9,-0.2700
1980-10-01,1980,10,-0.0200
1980-11-01,1980,11,-0.0200
1980-12-01,1980,12,-0.0300
1981-01-01,1981,1,-0.1300
1981-02-01,1981,2,-0.1700
1981-03-01,1981,3,-0.1700
1981-04-01,1981,4,-0.5200
1981-05-01,1981,5,-0.5600
1981-06-01,1981,6,-0.5900
1981-07-01,1981,7,-0.7300
1981-08-01,1981,8,-0.7100
1981-09-01,1981,9,-0.4000
1981-10-01,1981,10,-0.3800
1981-11-01,1981,11,-0.3100
1981-12-01,1981,12,-0.0900
1982-01-01,1982,1,-0.0300
1982-02-01,1982,2,-0.1800
1982-03-01,1982,3,0.0700
1982-04-01,1982,4,0.3300
1982-05-01,1982,5,0.3900
1982-06-01,1982,6,0.4500
1982-07-01,1982,7,0.1300
1982-08-01,1982,8,0.0900
1982-09-01,1982,9,0.3300
1982-10-01,1982,10,0.6700
1982-11-01,1982,11,0.5700
1982-12-01,1982,12,0.5100
1983-01-01,1983,1,0.3900
1983-02-01,1983,2,0.3300
1983-03-01,1983,3,0.2300
1983-04-01,1983,4,0.0400
1983-05-01,1983,5,0.1600
1983-06-01,1983,6,-0.0000
1983-07-01,1983,7,-0.2700
1983-08-01,1983,8,-0.4000
1983-09-01,1983,9,-0.7800
1983-10-01,1983,10,-0.8900
1983-11-01,1983,11,-1.0100
1983-12-01,1983,12,-0.8300
1984-01-01,1984,1,-0.8300
1984-02-01,1984,2,-0.7200
1984-03-01,1984,3,-0.8500
1984-04-01,1984,4,-0.8800
1984-05-01,1984,5,-0.7800
1984-06-01,1984,6,-0.7800
1984-07-01,1984,7,-0.5900
1984-08-01,1984,8,-0.6200
1984-09-01,1984,9,-0.5400
1984-10-01,1984,10,-0.7400
1984-11-01,1984,11,-0.9100
1984-12-01,1984,12,-0.9500
1985-01-01,1985,1,-0.6400
1985-02-01,1985,2,-0.7100
1985-03-01,1985,3,-1.0100
1985-04-01,1985,4,-1.1400
1985-05-01,1985,5,-0.9800
1985-06-01,1985,6,-0.9500
1985-07-01,1985,7,-0.7200
1985-08-01,1985,8,-0.5800
1985-09-01,1985,9,-0.4800
1985-10-01,1985,10,-0.4000
1985-11-01,1985,11,-0.3500
1985-12-01,1985,12,-0.2400
1986-01-01,1986,1,-0.2500
1986-02-01,1986,2,-0.2300
1986-03-01,1986,3,-0.1600
1986-04-01,1986,4,-0.3400
1986-05-01,1986,5,-0.3300
1986-06-01,1986,6,-0.1900
1986-07-01,1986,7,-0.0800
1986-08-01,1986,8,0.0600
1986-09-01,1986,9,0.2200
1986-10-01,1986,10,0.2300
1986-11-01,1986,11,0.3800
1986-12-01,1986,12,0.3200
1987-01-01,1987,1,0.3000
1987-02-01,1987,2,0.5000
1987-03-01,1987,3,0.4700
1987-04-01,1987,4,0.0800
1987-05-01,1987,5,0.1900
1987-06-01,1987,6,0.4000
1987-07-01,1987,7,0.4900
1987-08-01,1987,8,0.5900
1987-09-01,1987,9,0.7800
1987-10-01,1987,10,0.8200
1987-11-01,1987,11,0.8200
1987-12-01,1987,12,0.7600
1988-01-01,1988,1,0.6500
1988-02-01,1988,2,0.4500
1988-03-01,1988,3,0.1400
1988-04-01,1988,4,-0.3600
1988-05-01,1988,5,-0.6200
1988-06-01,1988,6,-0.8800
1988-07-01,1988,7,-0.9400
1988-08-01,1988,8,-0.7700
1988-09-01,1988,9,-0.9200
1988-10-01,1988,10,-1.6400
1988-11-01,1988,11,-1.7300
1988-12-01,1988,12,-1.7700
1989-01-01,1989,1,-1.7200
1989-02-01,1989,2,-1.5300
1989-03-01,1989,3,-1.1600
1989-04-01,1989,4,-1.0100
1989-05-01,1989,5,-0.7900
1989-06-01,1989,6,-0.9200
1989-07-01,1989,7,-0.8500
1989-08-01,1989,8,-0.7700
1989-09-01,1989,9,-0.5000
1989-10-01,1989,10,-0.4500
1989-11-01,1989,11,-0.5400
1989-12-01,1989,12,-0.1200
1990-01-01,1990,1,0.1600
1990-02-01,1990,2,0.3800
1990-03-01,1990,3,0.3100
1990-04-01,1990,4,0.1200
1990-05-01,1990,5,-0.0600
1990-06-01,1990,6,-0.0500
1990-07-01,1990,7,0.0200
1990-08-01,1990,8,0.1300
1990-09-01,1990,9,0.2200
1990-10-01,1990,10,0.3900
1990-11-01,1990,11,0.5000
1990-12-01,1990,12,0.6500
1991-01-01,1991,1,0.5800
1991-02-01,1991,2,0.5400
1991-03-01,1991,3,0.3400
1991-04-01,1991,4,0.3400
1991-05-01,1991,5,0.4600
1991-06-01,1991,6,0.3800
1991-07-01,1991,7,0.4500
