date,year,month,value
1865-12-01,1865,12,1.0770
1866-01-01,1866,1,1.2280
1866-02-01,1866,2,0.6150
1866-03-01,1866,3,-0.6130
1866-04-01,1866,4,0.3720
1866-05-01,1866,5,-0.8610
1866-06-01,1866,6,0.1050
1866-07-01,1866,7,-0.4670
1866-08-01,1866,8,-2.0940
1866-09-01,1866,9,-0.2330
1866-10-01,1866,10,-0.8680
1866-11-01,1866,11,0.8830
1866-12-01,1866,12,0.4450
1867-01-01,1867,1,-2.9310
1867-02-01,1867,2,2.4680
1867-03-01,1867,3,-2.4720
1867-04-01,1867,4,2.0750
1867-05-01,1867,5,-2.4010
1867-06-01,1867,6,-1.1930
1867-07-01,1867,7,-1.0090
1867-08-01,1867,8,-0.9940
1867-09-01,1867,9,-0.2760
1867-10-01,1867,10,0.5850
1867-11-01,1867,11,-1.9940
1867-12-01,1867,12,-0.2560
1868-01-01,1868,1,1.0500
1868-02-01,1868,2,2.2270
1868-03-01,1868,3,1.9700
1868-04-01,1868,4,0.6420
1868-05-01,1868,5,-0.7090
1868-06-01,1868,6,-1.4910
1868-07-01,1868,7,-1.5980
1868-08-01,1868,8,-1.0780
1868-09-01,1868,9,-4.7280
1868-10-01,1868,10,1.5220
1868-11-01,1868,11,-0.8490
1868-12-01,1868,12,0.1100
1869-01-01,1869,1,1.4870
1869-02-01,1869,2,2.1360
1869-03-01,1869,3,0.3900
1869-04-01,1869,4,-0.0520
1869-05-01,1869,5,-2.1080
1869-06-01,1869,6,-2.7110
1869-07-01,1869,7,-2.4880
1869-08-01,1869,8,-2.4280
1869-09-01,1869,9,-0.5340
1869-10-01,1869,10,-1.2740
1869-11-01,1869,11,-0.5920
1869-12-01,1869,12,-2.4010
1870-01-01,1870,1,-0.9720
1870-02-01,1870,2,-3.4630
1870-03-01,1870,3,-2.9000
1870-04-01,1870,4,0.2100
1870-05-01,1870,5,0.7630
1870-06-01,1870,6,-2.5270
1870-07-01,1870,7,-3.6930
1870-08-01,1870,8,-4.0580
1870-09-01,1870,9,0.2370
1870-10-01,1870,10,1.1410
1870-11-01,1870,11,-2.2490
1870-12-01,1870,12,-3.7780
1871-01-01,1871,1,-0.4840
1871-02-01,1871,2,0.0500
1871-03-01,1871,3,-0.3650
1871-04-01,1871,4,-1.5820
1871-05-01,1871,5,-4.1200
1871-06-01,1871,6,-1.4720
1871-07-01,1871,7,0.6110
1871-08-01,1871,8,-0.6690
1871-09-01,1871,9,-2.4410
1871-10-01,1871,10,-0.6700
1871-11-01,1871,11,-3.1440
1871-12-01,1871,12,1.0380
1872-01-01,1872,1,0.8130
1872-02-01,1872,2,-0.2290
1872-03-01,1872,3,-1.3410
1872-04-01,1872,4,-1.2810
1872-05-01,1872,5,0.6920
1872-06-01,1872,6,0.0420
1872-07-01,1872,7,-1.7280
1872-08-01,1872,8,-1.4180
1872-09-01,1872,9,-2.0940
1872-10-01,1872,10,-0.7880
1872-11-01,1872,11,0.6300
1872-12-01,1872,12,-0.5290
1873-01-01,1873,1,1.3340
1873-02-01,1873,2,0.4250
1873-03-01,1873,3,-0.3730
1873-04-01,1873,4,-2.1100
1873-05-01,1873,5,-0.6540
1873-06-01,1873,6,-0.6710
1873-07-01,1873,7,-0.1210
1873-08-01,1873,8,0.7810
1873-09-01,1873,9,-0.4140
1873-10-01,1873,10,-1.3400
1873-11-01,1873,11,-1.9340
1873-12-01,1873,12,0.7870
1874-01-01,1874,1,1.6320
1874-02-01,1874,2,1.6600
1874-03-01,1874,3,2.0530
1874-04-01,1874,4,2.7200
1874-05-01,1874,5,-1.9800
1874-06-01,1874,6,-0.0340
1874-07-01,1874,7,0.4800
1874-08-01,1874,8,-0.6300
1874-09-01,1874,9,1.2000
1874-10-01,1874,10,1.6390
1874-11-01,1874,11,0.1580
1874-12-01,1874,12,-1.4130
1875-01-01,1875,1,1.4280
1875-02-01,1875,2,-0.8550
1875-03-01,1875,3,0.1730
1875-04-01,1875,4,0.8150
1875-05-01,1875,5,2.4470
1875-06-01,1875,6,2.5990
1875-07-01,1875,7,-1.9790
1875-08-01,1875,8,-0.6030
1875-09-01,1875,9,-1.2280
1875-10-01,1875,10,-0.7940
1875-11-01,1875,11,-3.0240
1875-12-01,1875,12,-0.6020
1876-01-01,1876,1,-0.0450
1876-02-01,1876,2,-0.4460
1876-03-01,1876,3,-0.3340
1876-04-01,1876,4,-1.1750
1876-05-01,1876,5,-2.1370
1876-06-01,1876,6,1.3840
1876-07-01,1876,7,0.0870
1876-08-01,1876,8,-1.2640
1876-09-01,1876,9,-2.7010
1876-10-01,1876,10,-2.4440
1876-11-01,1876,11,-3.2800
1876-12-01,1876,12,-2.7090
1877-01-01,1877,1,0.8300
1877-02-01,1877,2,1.1250
1877-03-01,1877,3,-0.2250
1877-04-01,1877,4,-2.4020
1877-05-01,1877,5,-1.9370
1877-06-01,1877,6,-0.3340
1877-07-01,1877,7,0.7410
1877-08-01,1877,8,-2.3060
1877-09-01,1877,9,-3.5790
1877-10-01,1877,10,1.7870
1877-11-01,1877,11,1.9960
