dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q95,I_media,I_q05,I_q25,I_q50,I_q75,I_q95,I_std,Prob_irrig
1,0.4,1.5481999999999985,119.20517599999991,117.828,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6044319999999994,118.48951200000008,115.592,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.527624000000001,117.90588799999995,113.65599999999999,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5324079999999987,117.50457600000018,111.93599999999999,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.5302640000000014,117.27816799999981,110.092,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.6354799999999987,116.71031200000006,108.95200000000003,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.5967760000000026,116.5027119999999,108.444,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.5634480000000002,116.29223200000007,107.24000000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.551983999999999,115.95009599999982,105.85600000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.4605280000000003,116.19911999999994,105.56400000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.5168000000000021,116.07910399999997,106.036,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.488,116.59096000000004,105.832,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.502792,116.32672800000007,104.696,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.5126480000000009,116.21623199999983,105.88,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.4827920000000012,116.61749600000013,106.684,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8,2.8830560000000025,115.85915999999992,105.79460000000002,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.8,2.926656,114.95982400000004,101.96000000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.8,2.882480000000001,114.0419680000001,98.4,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.8,2.8860159999999966,113.79481599999991,94.70400000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,2.8153599999999983,113.07793599999988,90.24000000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.8,2.8999039999999994,112.34024799999989,90.94000000000003,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.8,2.9168159999999963,111.46639199999998,88.23600000000002,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.8,2.83584,111.56528800000001,85.192,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.8,2.795088000000004,111.453472,82.09200000000003,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.8,2.967248000000002,111.42688799999999,88.94400000000002,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.8,3.0661440000000013,110.696744,86.19200000000002,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.8,3.006688000000002,109.89271199999999,83.12000000000002,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.8,2.8163839999999984,110.40552799999985,80.49600000000002,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.8,2.9971520000000047,109.98864800000005,82.52400000000003,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.8,2.8712,109.20192799999994,79.29200000000003,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.216015,107.43187500000008,75.88350000000003,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.15,4.144876000000005,107.2915880000001,85.19099999999999,120.0,0.9385879999999998,0.0,0.0,0.0,0.0,0.0,7.8767930823562535,0.014
33,1.15,4.260658000000004,107.70039299999993,88.21799999999998,120.0,1.5436409999999992,0.0,0.0,0.0,0.0,0.0,10.29210935856294,0.022
34,1.15,4.350886999999996,106.969702,83.15799999999997,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.15,4.3794759999999995,104.8518289999998,77.26999999999997,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.15,4.197799000000003,103.54293299999985,78.3255,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.15,4.395967000000002,102.77128800000008,75.61850000000001,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
