dia_ciclo,SW_obs,I_obs,ETc_obs
1,35.412,0.0,1.1039999999999999
2,35.836,0.0,1.3920000000000001
3,36.5,0.0,1.536
4,36.5,0.0,0.9
5,35.696,0.0,1.476
6,35.17999999999999,0.0,1.6600000000000001
7,33.38399999999999,0.0,1.924
8,35.04399999999999,0.0,1.8840000000000001
9,33.63999999999999,0.0,1.476
10,34.45199999999999,0.0,1.084
11,36.5,0.0,1.7000000000000002
12,36.5,0.0,1.8239999999999998
13,36.5,0.0,1.044
14,36.5,0.0,1.312
15,36.5,0.0,1.4960000000000002
16,33.836,0.0,2.744
17,34.18,0.0,2.536
18,36.5,0.0,1.184
19,36.5,0.0,3.112
20,36.5,0.0,1.8
21,36.5,0.0,2.536
22,34.164,0.0,2.744
23,36.275999999999996,0.0,2.4960000000000004
24,35.084,0.0,1.8399999999999999
25,36.5,0.0,2.248
26,35.620000000000005,0.0,2.3760000000000003
27,36.5,0.0,2.4960000000000004
28,36.5,0.0,3.808
29,33.611999999999995,0.0,2.904
30,32.763999999999996,0.0,2.704
31,30.916999999999994,0.0,2.415
32,30.101499999999994,0.0,4.703499999999999
33,34.998,0.0,3.2314999999999996
34,35.809,0.0,4.301
35,36.4555,0.0,4.4735
36,36.5,0.0,3.1165
37,36.5,0.0,2.4724999999999997
38,36.5,0.0,4.4735
39,36.5,0.0,3.1739999999999995
40,36.2825,0.0,3.0014999999999996
41,36.5,0.0,3.3005
42,34.224500000000006,0.0,4.2435
43,36.5,0.0,2.231
44,36.5,0.0,3.3005
45,36.5,0.0,1.8859999999999997
46,36.5,0.0,3.8295
47,36.5,0.0,2.0585
48,36.5,0.0,4.358499999999999
49,36.5,0.0,2.53
50,36.5,0.0,4.646
51,36.5,0.0,4.5885
52,36.5,0.0,3.8295
53,32.903000000000006,0.0,4.117
54,28.304000000000002,0.0,5.359
55,36.5,0.0,3.5879999999999996
56,33.5185,0.0,5.3015
57,29.402500000000003,0.0,5.243999999999999
58,26.693500000000004,0.0,4.117
59,26.704000000000004,0.0,3.8295
60,25.436500000000006,0.0,2.5875
61,36.5,0.0,4.531
62,33.0775,0.0,4.174499999999999
63,32.3135,0.0,3.5879999999999996
64,31.5715,0.0,3.1739999999999995
65,33.7015,0.0,4.646
66,36.5,0.0,4.531
67,33.476,0.0,5.704
68,28.3985,0.0,5.1175
69,25.313499999999998,0.0,5.772999999999999
70,25.8285,0.0,2.8289999999999997
71,36.5,0.0,2.008
72,35.244,0.0,2.824
73,36.5,0.0,2.5760000000000005
74,36.5,0.0,3.4000000000000004
75,36.124,0.0,2.824
76,34.468,0.0,3.6479999999999997
77,36.5,0.0,1.6
78,36.5,0.0,2.704
79,33.524,0.0,3.44
80,34.828,0.0,3.6479999999999997
81,31.676000000000002,0.0,3.192
82,36.5,0.0,2.824
83,36.5,0.0,2.048
84,36.5,0.0,2.952
85,35.108000000000004,0.0,1.9280000000000002
86,36.5,0.0,1.665
87,35.394,0.0,1.61
88,34.5,0.0,1.79
89,36.5,0.0,1.15
90,36.5,0.0,1.74
