dia_ciclo,SW_obs,I_obs,ETc_obs
1,47.244,0.0,1.616
2,48.86,0.0,1.4320000000000002
3,47.14,0.0,1.72
4,47.344,0.0,1.268
5,48.86,0.0,2.212
6,46.663999999999994,0.0,2.212
7,44.37199999999999,0.0,2.2920000000000003
8,42.21199999999999,0.0,2.192
9,39.97999999999999,0.0,2.232
10,37.58399999999999,0.0,2.3960000000000004
11,35.35199999999999,0.0,2.232
12,33.203999999999986,0.0,2.148
13,31.115999999999985,0.0,2.088
14,29.131999999999984,0.0,1.984
15,27.123999999999985,0.0,2.008
16,25.907999999999987,0.0,3.5600000000000005
17,29.483999999999988,0.0,2.744
18,29.339999999999986,0.0,2.3760000000000003
19,34.23599999999999,0.0,3.968
20,35.291999999999994,0.0,3.8880000000000003
21,31.771999999999995,0.0,3.5200000000000005
22,28.539999999999996,0.0,3.232
23,24.851999999999997,0.0,3.6880000000000006
24,23.772,0.0,3.072
25,23.244,0.0,3.032
26,48.86,29.056,3.44
27,44.891999999999996,0.0,3.968
28,40.635999999999996,0.0,4.256
29,36.211999999999996,0.0,4.5040000000000004
30,33.412,0.0,2.952
31,30.897,0.0,4.531
32,25.595499999999998,0.0,5.3015
33,48.86,28.382,5.1175
34,44.332499999999996,0.0,4.887499999999999
35,45.7485,0.0,5.888
36,40.332,0.0,5.416499999999999
37,48.86,0.0,3.5879999999999996
38,48.3225,0.0,4.4735
39,48.86,0.0,3.3579999999999997
40,48.86,0.0,2.415
41,48.86,0.0,3.6454999999999997
42,48.86,0.0,2.8864999999999994
43,48.86,0.0,3.2314999999999996
44,48.86,0.0,3.9444999999999997
45,48.86,0.0,3.0014999999999996
46,48.86,0.0,3.0014999999999996
47,48.86,0.0,2.7715
48,48.86,0.0,5.945499999999999
49,43.3975,0.0,5.8305
50,37.8455,0.0,5.888
51,34.553,0.0,4.5885
52,29.686999999999994,0.0,5.473999999999999
53,32.41899999999999,0.0,5.06
54,31.01399999999999,0.0,5.5889999999999995
55,32.37749999999998,0.0,6.2444999999999995
56,27.843499999999985,0.0,4.646
57,23.240499999999983,0.0,6.002999999999999
58,48.86,29.664000000000016,6.2444999999999995
59,43.915,0.0,4.944999999999999
60,43.399,0.0,5.243999999999999
61,40.7765,0.0,4.358499999999999
62,45.357,0.0,4.2435
63,42.292500000000004,0.0,3.9444999999999997
64,48.046,0.0,4.174499999999999
65,44.5055,0.0,4.7725
66,42.760000000000005,0.0,5.945499999999999
67,36.22800000000001,0.0,6.531999999999999
68,29.811000000000007,0.0,6.417
69,23.709000000000007,0.0,6.117999999999999
70,48.86,30.394999999999992,5.243999999999999
71,44.724,0.0,4.136
72,40.876,0.0,3.848
73,36.988,0.0,3.8880000000000003
74,33.971999999999994,0.0,4.176
75,32.772,0.0,4.016
76,29.972,0.0,4.016
77,27.028,0.0,3.8880000000000003
78,24.852,0.0,3.6479999999999997
79,48.86,27.616,4.136
80,45.196,0.0,4.216
81,40.803999999999995,0.0,4.424
82,36.547999999999995,0.0,4.256
83,33.22,0.0,3.8880000000000003
84,39.14,0.0,2.9920000000000004
85,35.556,0.0,3.6479999999999997
86,35.017,0.0,2.355
87,32.695,0.0,2.61
88,31.835,0.0,2.1
89,29.965,0.0,1.87
90,27.405,0.0,2.56
