dia_ciclo,SW_obs,I_obs,ETc_obs
1,61.25,0.0,1.6800000000000002
2,61.25,0.0,1.516
3,61.25,0.0,1.7000000000000002
4,59.653999999999996,0.0,1.74
5,58.221999999999994,0.0,2.088
6,58.07799999999999,0.0,1.904
7,55.889999999999986,0.0,2.2520000000000002
8,53.96599999999999,0.0,1.924
9,53.67399999999999,0.0,1.004
10,52.529999999999994,0.0,1.6800000000000002
11,50.68599999999999,0.0,1.8440000000000003
12,49.446,0.0,1.8239999999999998
13,47.918,0.0,1.6800000000000002
14,53.082,0.0,1.372
15,58.298,0.0,1.4960000000000002
16,57.682,0.0,3.2720000000000002
17,61.25,0.0,2.664
18,61.25,0.0,3.728
19,61.25,0.0,3.152
20,61.25,0.0,3.3600000000000003
21,58.994,0.0,3.032
22,61.25,0.0,2.3760000000000003
23,61.25,0.0,2.9920000000000004
24,61.25,0.0,2.536
25,61.25,0.0,3.032
26,61.25,0.0,2.824
27,60.442,0.0,3.808
28,57.722,0.0,4.344
29,58.978,0.0,3.6
30,54.802,0.0,4.176
31,49.627,0.0,5.175
32,43.2565,0.0,6.474499999999999
33,36.782000000000004,0.0,6.474499999999999
34,37.28600000000001,0.0,4.4159999999999995
35,45.51100000000001,0.0,5.175
36,51.287500000000016,0.0,3.2314999999999996
37,59.612000000000016,0.0,4.0595
38,55.28450000000002,0.0,4.887499999999999
39,52.630000000000024,0.0,5.6465
40,55.393500000000024,0.0,6.060499999999999
41,49.05650000000002,0.0,6.417
42,44.05400000000002,0.0,5.0024999999999995
43,38.648000000000025,0.0,6.117999999999999
44,34.82550000000002,0.0,5.6465
45,31.95450000000002,0.0,5.175
46,61.25,34.82199999999998,5.8305
47,55.247,0.0,6.002999999999999
48,49.554,0.0,5.772999999999999
49,44.0225,0.0,5.531499999999999
50,40.61750000000001,0.0,4.117
51,36.23350000000001,0.0,4.4159999999999995
52,34.163500000000006,0.0,4.646
53,61.25,0.0,3.0014999999999996
54,61.25,0.0,4.7725
55,55.876,0.0,6.117999999999999
56,51.319,0.0,5.772999999999999
57,57.3045,0.0,4.174499999999999
58,56.1975,0.0,6.002999999999999
59,55.353,0.0,3.3005
60,59.668000000000006,0.0,5.772999999999999
61,53.60750000000001,0.0,6.060499999999999
62,48.18650000000001,0.0,5.772999999999999
63,43.01150000000001,0.0,5.175
64,38.82050000000001,0.0,5.359
65,36.06150000000001,0.0,5.175
66,32.69000000000001,0.0,4.2435
67,29.052500000000013,0.0,5.3015
68,61.25,38.25799999999999,6.060499999999999
69,55.85,0.0,5.704
70,53.031,0.0,6.002999999999999
71,48.839,0.0,4.296
72,44.495,0.0,4.344
73,41.743,0.0,4.544
74,37.503,0.0,4.792000000000001
75,32.839,0.0,4.664000000000001
76,28.127,0.0,4.712
77,61.25,36.523,4.176
78,58.138,0.0,3.112
79,56.738,0.0,2.336
80,60.17,0.0,2.9920000000000004
81,61.25,0.0,3.5600000000000005
82,61.25,0.0,2.9920000000000004
83,59.674,0.0,3.6
84,57.194,0.0,4.424
85,53.49,0.0,3.8880000000000003
86,51.587,0.0,2.175
87,49.512,0.0,2.075
88,48.693000000000005,0.0,2.355
89,50.968,0.0,2.405
90,50.496,0.0,1.92
