city,cycle,n_simulations,alpha_dry,alpha_normal,alpha_wet,p_dry,p_normal,p_wet,observed_class,det_I_total_obs_mm,det_I_total_forecast_median_mm,det_I_total_forecast_mean_mm,det_I_total_error_mm,det_n_irrigation_events_obs,det_n_irrigation_events_forecast_mean,det_MAE_SW_mm,det_MAE_I_mm,det_Pearson_r_SW,det_KGE_SW,det_NSE_SW,prob_CRPS_I_total_mm,prob_PIT_I_total,prob_coverage_90_I_total,prob_coverage_90_SW_daily,prob_I_total_q05,prob_I_total_q50,prob_I_total_q95,baseline_CRPS_naive_climatology_mm,baseline_CRPS_persistence_mm,baseline_CRPS_long_term_mean_mm,CRPSS_vs_naive_climatology,CRPSS_vs_persistence,CRPSS_vs_long_term_mean
Barreiras,2020/2021,500,41.0,39.0,41.0,0.33884297520661155,0.32231404958677684,0.33884297520661155,normal,176.6805,146.69249999999997,146.92952999999997,-29.988000000000028,6,5.028,6.582002777777777,3.2795831777777784,0.05201607649506279,-0.17850785049708784,-0.08007527319595997,18.669075259999993,0.67,1.0,0.9555555555555556,29.823,146.69249999999997,230.78289999999976,20.017579095999984,30.031999999999982,32.221550847457614,0.06736598014839157,0.3783605733883856,0.4206028335388753
Barreiras,2021/2022,500,41.0,41.0,41.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,wet,91.68249999999998,142.1995,140.638545,50.517000000000024,3,4.824,5.6917083333333345,2.432825411111111,0.1788305193209867,-0.09066758766528094,0.020949989074709463,30.733582321999997,0.22,1.0,0.9777777777777777,55.616,142.1995,211.60499999999996,34.960849718000006,84.99800000000005,53.313475000000025,0.12091432073584729,0.638419935504365,0.4235306867166325
Barreiras,2022/2023,500,42.0,41.0,42.0,0.336,0.328,0.336,wet,174.80200000000002,145.03099999999998,144.011144,-29.771000000000043,6,4.926,6.125897222222222,3.235207111111111,0.3494889922412787,0.004126612853128542,0.09009310157611394,19.395087908000008,0.644,1.0,0.9222222222222223,55.616,145.03099999999998,230.48200000000003,18.964174554000003,83.11950000000003,30.68001639344264,-0.022722494605446286,0.7666601951647929,0.3678266771674412
Barreiras,2023/2024,500,42.0,41.0,44.0,0.33070866141732286,0.3228346456692913,0.3464566929133858,wet,147.4935,143.132,142.583936,-4.361500000000007,5,4.898,6.271869444444444,3.0401829777777776,-0.03844121302769934,-0.22987374023573026,-0.17492440597127468,14.531331708000003,0.562,1.0,0.9222222222222223,29.823,143.132,236.49999999999997,13.683143566000012,27.308500000000006,2.8766774193548486,-0.06198781280842325,0.4678824648735741,-4.051428988954535
Barreiras,2024/2025,500,42.0,42.0,45.0,0.32558139534883723,0.32558139534883723,0.3488372093023256,dry,145.113,142.1995,140.839979,-2.913499999999999,5,4.836,8.339458333333337,2.939673077777778,-0.1376306644603558,-0.3618173668147593,-0.44633677152482765,13.328222845999996,0.548,1.0,0.9222222222222223,55.616,142.1995,230.48200000000003,13.296811462000004,2.3805000000000116,0.45051587301586693,-0.0023623245384625235,-4.598917389623999,-28.584357942324004
