city,cycle,observed_class,det_I_total_obs_mm,det_I_total_forecast_median_mm,det_I_total_forecast_mean_mm,det_I_total_error_mm,det_n_irrigation_events_obs,det_n_irrigation_events_forecast_mean,det_MAE_SW_mm,det_MAE_I_mm,det_Pearson_r_SW,det_KGE_SW,det_NSE_SW,prob_CRPS_I_total_mm,prob_PIT_I_total,prob_coverage_90_I_total,prob_coverage_90_SW_daily,prob_I_total_q05,prob_I_total_q50,prob_I_total_q95,baseline_CRPS_naive_climatology_mm,baseline_CRPS_persistence_mm,baseline_CRPS_long_term_mean_mm,CRPSS_vs_naive_climatology,CRPSS_vs_persistence,CRPSS_vs_long_term_mean
Baixa_Grande_do_Ribeiro,2020/2021,1,111.63999999999999,58.359999999999985,71.60512999999999,-53.28,4,2.59,6.42976944444444,1.8632396444444443,0.3972287872654119,0.016370994600679922,-0.15018362621549608,26.768315055999995,0.904,1.0,0.9111111111111111,26.87849999999998,58.359999999999985,140.23,28.30930282,3.8689999999999967,41.35288983050849,0.05443397083277246,-5.918665044197472,0.3526857454046315
Baixa_Grande_do_Ribeiro,2021/2022,2,54.21299999999999,57.421,69.23881899999999,3.2080000000000126,2,2.504,5.327086111111112,1.305413833333333,-0.03156988435035521,-0.22624485854559295,-0.16454706012319997,7.619490990000003,0.318,1.0,0.9777777777777777,26.757499999999983,57.421,111.94149999999999,9.207799812000005,57.427000000000014,16.763325000000012,0.17249602016000054,0.867318665610253,0.5454666070126304
Baixa_Grande_do_Ribeiro,2022/2023,1,55.74149999999999,57.056,69.150601,1.3145000000000095,2,2.502,4.809374999999998,1.341060233333333,0.18459978066315622,-0.08877857116360577,-0.026435544386642418,6.216094086000002,0.378,1.0,0.9777777777777777,26.87849999999998,57.056,111.94149999999999,7.191417233999996,1.5285000000000029,14.960016393442633,0.1356232181034922,-3.0667936447497484,0.5844861447662131
Baixa_Grande_do_Ribeiro,2023/2024,2,54.25800000000001,57.058499999999995,70.52364599999999,2.8004999999999853,2,2.556,5.31088888888889,1.3207175999999998,0.3936074118128329,0.03992563252159498,-0.015099445474139772,8.185339959999997,0.35,1.0,0.9888888888888889,26.364999999999988,57.058499999999995,140.23,8.074960815999994,1.48349999999998,16.20222580645159,-0.013669310169443172,-4.5175867610381575,0.49480151321303867
Baixa_Grande_do_Ribeiro,2024/2025,1,28.03599999999999,56.365999999999985,69.12903799999998,28.329999999999995,1,2.508,4.562916666666666,1.0636054444444443,0.3937348767778156,0.05955048828651133,0.07620306637734375,24.631707148000007,0.086,1.0,0.9777777777777777,26.87849999999998,56.365999999999985,113.3559249999987,26.071728746000012,26.222000000000023,42.16704761904761,0.05523306920032822,0.0606472752650451,0.41585411977305653
Balsas,2020/2021,1,87.232,57.898499999999984,56.6814,-29.333500000000015,3,1.928,5.484672222222224,1.5024575999999998,0.2270157571388018,-0.004386243342966445,-0.034638595535112504,22.733747620000003,0.858,1.0,0.9444444444444444,0.0,57.898499999999984,144.916,23.611767688000004,28.18450000000001,32.363237288135586,0.03718569823326823,0.193395390374142,0.297544080105539
Balsas,2021/2022,2,29.157999999999998,57.516000000000005,56.034943,28.358000000000008,1,1.902,5.07258888888889,0.9181391666666667,0.17867540808946172,-0.018657182893849544,-0.01671905501033155,13.084019814000001,0.248,1.0,0.9777777777777777,0.0,57.516000000000005,144.916,14.596571346000005,58.073999999999984,26.25015,0.10362375493163312,0.7747009020559974,0.501563998148582
Balsas,2022/2023,0,117.68549999999998,56.852000000000004,53.140564999999995,-60.83349999999997,4,1.804,6.8147277777777795,1.8692531222222217,0.3748756194020561,0.048056406126375295,-0.14201282294735185,49.33730089399997,0.936,1.0,0.9111111111111111,0.0,56.852000000000004,119.99950000000001,46.63886433999999,88.52749999999996,62.70768032786883,-0.057858110230305515,0.4426895496427664,0.2132175734130406
Balsas,2023/2024,1,57.422500000000014,57.516000000000005,56.389866999999995,0.0934999999999917,2,1.916,4.432708333333336,1.2557634111111111,0.4743618154387235,0.18522198132506762,0.1200749900497654,6.909498053999997,0.472,1.0,0.9777777777777777,0.0,57.516000000000005,144.916,6.508218455999998,60.262999999999955,1.4332661290322708,-0.06165736456342441,0.8853442733684018,-3.820806069466828
Balsas,2024/2025,2,28.748500000000007,57.707249999999995,56.182691999999996,28.958749999999988,1,1.91,3.61705,0.9107529777777779,0.44492340844919714,0.24110437259063233,0.19373929771898357,13.432221639999995,0.192,1.0,1.0,0.0,57.707249999999995,121.24532499999887,12.525695953999989,28.673999999999996,27.263484126984114,-0.07237327884447908,0.5315539638697079,0.5073182291215153
Barreiras,2020/2021,1,176.6805,146.69249999999997,146.92952999999997,-29.988000000000028,6,5.028,6.582002777777777,3.2795831777777784,0.05201607649506279,-0.17850785049708784,-0.08007527319595997,18.669075259999993,0.67,1.0,0.9555555555555556,29.823,146.69249999999997,230.78289999999976,20.017579095999984,30.031999999999982,32.221550847457614,0.06736598014839157,0.3783605733883856,0.4206028335388753
Barreiras,2021/2022,2,91.68249999999998,142.1995,140.638545,50.517000000000024,3,4.824,5.6917083333333345,2.432825411111111,0.1788305193209867,-0.09066758766528094,0.020949989074709463,30.733582321999997,0.22,1.0,0.9777777777777777,55.616,142.1995,211.60499999999996,34.960849718000006,84.99800000000005,53.313475000000025,0.12091432073584729,0.638419935504365,0.4235306867166325
Barreiras,2022/2023,2,174.80200000000002,145.03099999999998,144.011144,-29.771000000000043,6,4.926,6.125897222222222,3.235207111111111,0.3494889922412787,0.004126612853128542,0.09009310157611394,19.395087908000008,0.644,1.0,0.9222222222222223,55.616,145.03099999999998,230.48200000000003,18.964174554000003,83.11950000000003,30.68001639344264,-0.022722494605446286,0.7666601951647929,0.3678266771674412
Barreiras,2023/2024,2,147.4935,143.132,142.583936,-4.361500000000007,5,4.898,6.271869444444444,3.0401829777777776,-0.03844121302769934,-0.22987374023573026,-0.17492440597127468,14.531331708000003,0.562,1.0,0.9222222222222223,29.823,143.132,236.49999999999997,13.683143566000012,27.308500000000006,2.8766774193548486,-0.06198781280842325,0.4678824648735741,-4.051428988954535
Barreiras,2024/2025,0,145.113,142.1995,140.839979,-2.913499999999999,5,4.836,8.339458333333337,2.939673077777778,-0.1376306644603558,-0.3618173668147593,-0.44633677152482765,13.328222845999996,0.548,1.0,0.9222222222222223,55.616,142.1995,230.48200000000003,13.296811462000004,2.3805000000000116,0.45051587301586693,-0.0023623245384625235,-4.598917389623999,-28.584357942324004
Bom_Jesus,2020/2021,0,206.61,145.992,138.28443699999997,-60.61800000000002,10,6.564,4.67146388888889,3.3673014555555554,0.16021721055150837,-0.12841873380153745,-0.04749341602216739,44.990741278,0.978,0.0,0.9777777777777777,62.985,145.992,198.34249999999997,44.91256312600001,56.361,70.2850423728814,-0.0017406744696504273,0.2017398328986355,0.35988170798401464
Bom_Jesus,2021/2022,2,106.118,142.6755,136.070695,36.557500000000005,5,6.488,4.557180555555555,2.445149144444444,-0.1233006405755352,-0.3276986948708238,-0.1589210824163756,19.60420562600001,0.224,1.0,0.9666666666666667,63.079499999999996,142.6755,206.61,22.565492525999993,100.49199999999999,31.378375000000002,0.13123076735807937,0.8049177484177844,0.37523196704736916
Bom_Jesus,2022/2023,1,141.64699999999996,145.992,139.027998,4.345000000000027,7,6.602,5.073905555555555,2.838163244444444,0.05082146932785135,-0.20697989683172757,-0.23854611973728623,10.879165288,0.456,1.0,0.9333333333333333,63.079499999999996,145.992,206.61,10.985039120000003,35.528999999999975,4.6650245901639105,0.009638002272312707,0.6937947792507527,-1.3320702983942359
Bom_Jesus,2023/2024,2,174.1585,141.64699999999996,134.325708,-32.51150000000004,8,6.39,5.18753888888889,3.204711488888889,-0.12677303820446745,-0.3684336372456578,-0.1640777908005393,23.045817332000006,0.842,1.0,0.9333333333333333,61.189499999999995,141.64699999999996,198.34249999999997,20.167756062000002,32.51150000000005,37.101282258064515,-0.14270607305801541,0.29114875253371975,0.378840408487751
Bom_Jesus,2024/2025,1,124.9575,130.754,133.64455099999998,5.796499999999995,6,6.342,4.593019444444445,2.598535522222222,-0.1525216581611503,-0.3755823687159927,-0.18816070851437372,10.898122485999991,0.37,1.0,0.9666666666666667,63.079499999999996,130.754,200.8575,12.032206287999994,49.201000000000015,12.688626984126996,0.09425401915948295,0.7784979474807425,0.14111097287097019
Campos_Lindos,2020/2021,1,88.06899999999999,48.558499999999995,55.170393,-39.51049999999999,4,2.498,3.9941472222222227,1.4621372999999995,0.36805163740617974,0.04368303902771875,-0.038057928896196636,20.478098826,0.806,1.0,0.9666666666666667,20.164499999999975,48.558499999999995,113.09049999999999,23.179474998000003,39.510499999999986,34.278033898305075,0.11654173238320054,0.4817048929778158,0.4025882906016798
Campos_Lindos,2021/2022,2,21.092499999999998,45.6345,53.119806999999994,24.542000000000005,1,2.42,2.9222611111111094,0.8245811888888889,0.04928494528499418,-0.11061366990825605,-0.14237915021095793,17.459055214,0.166,1.0,0.9777777777777777,0.0,45.6345,113.09049999999999,20.543844894,66.97649999999999,33.26976666666667,0.15015639457543506,0.7393256558046479,0.47522760261819297
Campos_Lindos,2022/2023,1,66.223,46.239,52.917759,-19.984,3,2.404,4.217755555555554,1.2823079222222225,0.3017909818254612,-0.007197517576901458,-0.0858251469846294,9.893719642000004,0.7,1.0,0.9222222222222223,0.0,46.239,113.09049999999999,10.207256861999998,45.13049999999999,12.406139344262296,0.03071708924728278,0.7807753150973287,0.20251422562203114
Campos_Lindos,2023/2024,0,20.9335,46.84349999999999,51.960808,25.909999999999993,1,2.364,4.2840027777777765,0.7824754666666667,0.11012074678239907,-0.11856102362791265,-0.30374710616475165,17.535085464,0.128,1.0,0.9555555555555556,20.164499999999975,46.84349999999999,92.73799999999997,19.494925312000007,45.28949999999999,33.08345967741935,0.10053076975850916,0.6128222774815353,0.46997425193809683
