dia_ciclo,SW_obs,I_obs,ETc_obs
1,53.28,0.0,1.516
2,52.82,0.0,1.8440000000000003
3,53.3,0.0,1.452
4,52.99999999999999,0.0,1.8440000000000003
5,53.3,0.0,2.088
6,51.812,0.0,2.008
7,49.763999999999996,0.0,2.048
8,49.056,0.0,2.172
9,49.336,0.0,1.616
10,47.903999999999996,0.0,1.4320000000000002
11,47.672,0.0,1.904
12,50.05199999999999,0.0,1.7000000000000002
13,53.3,0.0,1.7800000000000002
14,53.3,0.0,1.8
15,53.3,0.0,1.596
16,52.604,0.0,3.44
17,53.3,0.0,2.3760000000000003
18,53.3,0.0,3.6880000000000006
19,53.3,0.0,3.232
20,53.3,0.0,3.5200000000000005
21,53.3,0.0,3.7680000000000002
22,53.3,0.0,1.7600000000000002
23,53.3,0.0,2.904
24,53.3,0.0,2.168
25,53.3,0.0,2.248
26,53.3,0.0,2.624
27,53.3,0.0,2.744
28,53.3,0.0,2.536
29,53.3,0.0,3.192
30,53.3,0.0,3.3600000000000003
31,52.318999999999996,0.0,5.5889999999999995
32,50.320499999999996,0.0,5.8305
33,45.019,0.0,5.3015
34,41.3515,0.0,4.0595
35,40.0555,0.0,5.704
36,44.2755,0.0,3.5879999999999996
37,44.302,0.0,3.6454999999999997
38,42.924,0.0,4.002
39,40.3835,0.0,4.5885
40,41.885999999999996,0.0,4.4735
41,44.11149999999999,0.0,4.174499999999999
42,45.019999999999996,0.0,4.0595
43,43.3525,0.0,4.0595
44,46.842,0.0,4.358499999999999
45,53.3,0.0,3.7719999999999994
46,53.3,0.0,4.887499999999999
47,53.3,0.0,4.703499999999999
48,49.3015,0.0,4.174499999999999
49,51.2425,0.0,4.531
50,53.3,0.0,2.415
51,53.3,0.0,5.3015
52,48.96549999999999,0.0,5.6465
53,48.145999999999994,0.0,4.2435
54,53.3,0.0,4.646
55,49.348,0.0,5.704
56,45.9265,0.0,5.1175
57,43.324999999999996,0.0,4.4735
58,45.756499999999996,0.0,5.416499999999999
59,43.89149999999999,0.0,3.473
60,41.693999999999996,0.0,5.1175
61,37.83,0.0,5.888
62,32.183499999999995,0.0,5.6465
63,28.09849999999999,0.0,4.117
64,25.045999999999992,0.0,3.1165
65,53.3,30.850500000000004,4.5885
66,51.2335,0.0,5.0024999999999995
67,48.451,0.0,4.174499999999999
68,44.3505,0.0,4.7725
69,46.326,0.0,3.9444999999999997
70,43.583999999999996,0.0,6.117999999999999
71,39.407999999999994,0.0,4.176
72,35.111999999999995,0.0,4.296
73,33.199999999999996,0.0,3.3200000000000003
74,28.855999999999995,0.0,4.344
75,24.391999999999996,0.0,4.464
76,53.3,31.932000000000002,3.9280000000000004
77,50.364,0.0,3.5600000000000005
78,47.291999999999994,0.0,3.152
79,46.556,0.0,2.2960000000000003
80,53.3,0.0,2.4160000000000004
81,53.3,0.0,3.112
82,51.948,0.0,2.744
83,51.004,0.0,3.112
84,50.083999999999996,0.0,3.5600000000000005
85,49.748,0.0,2.8640000000000003
86,53.3,0.0,1.895
87,53.3,0.0,1.205
88,53.3,0.0,1.28
89,53.3,0.0,1.15
90,53.3,0.0,1.69
