dia_ciclo,SW_obs,I_obs,ETc_obs
1,118.036,0.0,1.9640000000000002
2,116.316,0.0,1.72
3,120.0,0.0,1.268
4,119.93199999999999,0.0,0.9
5,118.17199999999998,0.0,1.7600000000000002
6,118.45199999999998,0.0,1.9440000000000002
7,116.17999999999998,0.0,2.272
8,113.98799999999997,0.0,2.192
9,112.45199999999997,0.0,1.536
10,120.0,0.0,1.2880000000000003
11,120.0,0.0,1.2480000000000002
12,120.0,0.0,1.6800000000000002
13,118.264,0.0,1.864
14,116.484,0.0,1.7800000000000002
15,114.152,0.0,2.3320000000000003
16,111.92,0.0,2.232
17,109.72,0.0,2.2
18,120.0,0.0,2.1395000000000004
19,120.0,0.0,2.5799999999999996
20,117.7055,0.0,2.2944999999999998
21,119.8155,0.0,2.618
22,120.0,0.0,2.46
23,116.104,0.0,3.9679999999999995
24,111.667,0.0,4.436999999999999
25,106.879,0.0,4.787999999999999
26,101.92,0.0,4.959
27,96.75,0.0,5.17
28,99.0325,0.0,2.8454999999999995
29,99.2895,0.0,5.071000000000001
30,94.402,0.0,4.887499999999999
31,100.11,0.0,2.116
32,98.7865,0.0,4.2435
33,120.0,0.0,3.0589999999999997
34,120.0,0.0,4.4735
35,115.58500000000001,0.0,5.175
36,114.549,0.0,5.243999999999999
37,110.47850000000001,0.0,5.8305
38,106.47650000000002,0.0,4.002
39,110.94300000000001,0.0,3.6454999999999997
40,105.70600000000002,0.0,5.5889999999999995
41,101.45200000000001,0.0,4.646
42,102.24600000000001,0.0,3.1739999999999995
43,105.75450000000001,0.0,4.2435
44,104.685,0.0,5.3015
45,99.5835,0.0,5.3015
46,96.5695,0.0,4.83
47,91.5335,0.0,5.243999999999999
48,91.513,0.0,4.5885
49,86.5,0.0,5.5889999999999995
50,81.0835,0.0,5.416499999999999
51,76.2225,0.0,5.5889999999999995
52,79.211,0.0,4.2435
53,76.0785,0.0,4.5885
54,83.099,0.0,4.2435
55,88.39350000000002,0.0,3.0014999999999996
56,95.13600000000002,0.0,3.0014999999999996
57,111.00950000000002,0.0,2.7024999999999997
58,120.0,0.0,2.0585
59,120.0,0.0,2.8864999999999994
60,120.0,0.0,4.646
61,120.0,0.0,4.703499999999999
62,117.2025,0.0,5.3015
63,113.534,0.0,4.5885
64,111.46400000000001,0.0,4.83
65,120.0,0.0,3.3579999999999997
66,115.1615,0.0,5.8305
67,109.1585,0.0,6.002999999999999
68,103.742,0.0,5.416499999999999
69,98.03800000000001,0.0,5.704
70,94.20850000000002,0.0,3.8295
71,111.58367500000001,0.0,1.776825
72,120.0,0.0,1.94215
73,120.0,0.0,3.3364249999999998
74,116.9408,0.0,4.651199999999999
75,111.835425,0.0,5.1053749999999996
76,110.665925,0.0,4.297499999999999
77,106.60895,0.0,4.344975
78,103.00515,0.0,4.4677999999999995
79,102.430325,0.0,4.038824999999999
80,108.138825,0.0,2.4915
81,115.04445,0.0,1.8623750000000001
82,120.0,0.0,1.9456
83,120.0,0.0,1.564125
84,120.0,0.0,1.5637500000000002
85,120.0,0.0,2.13325
86,120.0,0.0,2.9358
87,119.855425,0.0,3.208575
88,117.10952499999999,0.0,2.7459
89,120.0,0.0,2.2365
90,120.0,0.0,1.765
