city,variable,period,n,mean,median,std,cv,iqr,p10,p25,p50,p75,p90,skewness,kurtosis,min,max
Urucui,Tmin,1991-2020,30,21.571,21.613,0.692,3.210,0.868,20.719,21.184,21.613,22.052,22.237,-0.585,0.192,19.917,22.915
Urucui,RH,1961-1990,30,70.265,70.532,3.259,4.638,3.423,65.884,69.010,70.532,72.434,73.955,-0.651,0.147,62.693,75.606
Urucui,RH,1981-2010,30,66.820,66.161,3.536,5.292,4.794,62.688,64.322,66.161,69.117,71.318,0.417,-0.136,60.136,75.606
Urucui,RH,1991-2020,30,65.249,65.079,3.258,4.994,3.704,60.518,62.997,65.079,66.701,69.852,0.410,-0.149,60.004,72.421
Urucui,Rs,1961-1990,30,19.174,19.268,0.531,2.767,0.406,18.531,19.026,19.268,19.432,19.688,-0.966,1.550,17.611,20.058
Urucui,Rs,1981-2010,30,19.262,19.268,0.673,3.491,0.614,18.491,18.937,19.268,19.551,20.128,-0.184,0.289,17.611,20.627
Urucui,Rs,1991-2020,30,19.626,19.582,0.545,2.776,0.653,19.006,19.326,19.582,19.979,20.236,-0.375,-0.152,18.397,20.627
Urucui,u2,1961-1990,30,1.073,1.078,0.328,30.529,0.639,0.636,0.717,1.078,1.356,1.429,-0.194,-1.540,0.583,1.567
Urucui,u2,1981-2010,30,1.126,1.058,0.159,14.081,0.161,0.998,1.010,1.058,1.170,1.368,1.425,1.245,0.972,1.567
Urucui,u2,1991-2020,30,1.035,1.015,0.097,9.325,0.081,0.909,0.986,1.015,1.067,1.170,0.637,0.536,0.876,1.283
