city,cycle,observed_class,predicted_class,hit,P_dry,P_normal,P_wet,alpha_prior_dry,alpha_prior_normal,alpha_prior_wet,det_I_total_obs_mm,prob_I_total_q05,prob_I_total_q50,prob_I_total_q95,det_I_total_error_mm,prob_CRPS_I_total_mm,prob_PIT_I_total,prob_coverage_90_I_total,prob_coverage_90_SW_daily,det_KGE_SW,det_NSE_SW,det_Pearson_r_SW,det_MAE_SW_mm,CRPSS_vs_naive_climatology,CRPSS_vs_persistence,CRPSS_vs_long_term_mean
Baixa_Grande_do_Ribeiro,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,69.57149999999999,0.0,0.0,134.693425,-69.57149999999999,19.645116569699997,0.876,1.0,0.9111111111111112,0.209575759533738,-0.067329964581015,0.6521386940726636,15.487131944444451,0.1810116605541634,0.717626951126539,0.4377454156384338
Baixa_Grande_do_Ribeiro,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,0.0,0.0,0.0,71.61349999999999,0.0,13.8749966355,0.548,1.0,0.8888888888888888,-0.1653015154901393,-0.2149889364133403,0.0387221868112584,16.18254,0.2729264974259594,0.8005649348440094,0.6059799534715458
Baixa_Grande_do_Ribeiro,2022/2023,1,1,1,0.2,0.4,0.4,1.0,2.0,2.0,66.62559999999999,0.0,0.0,71.61349999999999,-66.62559999999999,23.487618628899988,0.652,1.0,0.9666666666666668,0.2324065559011879,0.2056300108159101,0.4579483976479299,10.106195277777775,-0.2116219582709824,0.6474685612001994,0.265758186896553
Baixa_Grande_do_Ribeiro,2023/2024,2,1,0,0.16666666666666666,0.5,0.3333333333333333,1.0,3.0,2.0,0.0,0.0,0.0,134.693425,0.0,14.4841706685,0.54,1.0,1.0,0.2371497173212537,0.1218058182771159,0.3865199068732888,8.255277499999998,0.0674005551292177,0.7826035237431257,0.5879631374824541
Baixa_Grande_do_Ribeiro,2024/2025,1,1,1,0.14285714285714285,0.42857142857142855,0.42857142857142855,1.0,3.0,3.0,0.0,0.0,0.0,74.76749624999712,0.0,13.803647060999989,0.55,1.0,1.0,0.023497945576785,-0.1101872835884612,0.1721617686702637,9.931757361111108,-0.0893493762576835,,0.6009887464907335
Balsas,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,69.45549999999999,0.0,0.0,70.719,-69.45549999999999,29.933590320699995,0.852,1.0,0.9444444444444444,0.213770742006359,0.2108003718325858,0.5302542259943753,10.114967083333331,0.0126338138322381,0.56902491061615,0.3376894874145222
Balsas,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,0.0,0.0,0.0,70.719,0.0,8.185531505099998,0.652,1.0,1.0,0.2547790439198125,-0.5343270719237041,0.2764492031836222,6.975524166666665,0.1279356959740044,0.8821471085068857,0.6727496571958742
Balsas,2022/2023,0,1,0,0.2,0.4,0.4,1.0,2.0,2.0,67.46449999999996,0.0,0.0,70.64549999999997,-67.46449999999996,31.340845866899965,0.822,1.0,0.9444444444444444,0.1794726978929067,-0.0709811342934256,0.5463059687322549,12.242809722222216,-0.047412323440348,0.5354468517976122,0.2687878174722977
Balsas,2023/2024,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,2.0,2.0,67.51749999999998,0.0,0.0,70.719,-67.51749999999998,31.059781518699985,0.832,1.0,0.9444444444444444,0.2032729598288132,0.196592232040762,0.505964560687271,9.000524444444444,-0.107473366722095,-585.0336135600929,0.2643902584505186
Balsas,2024/2025,2,1,0,0.2857142857142857,0.42857142857142855,0.2857142857142857,2.0,3.0,2.0,0.0,0.0,0.0,70.64549999999997,0.0,7.910808280700003,0.658,1.0,1.0,0.1113715303910983,-0.0289916866528665,0.2425641885489176,8.66770041666666,-0.0823436275014646,0.8828332168593327,0.6953224991388356
Barreiras,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,138.63699999999994,0.0,134.76749999999998,207.59007499999996,-3.86949999999996,14.592894129899982,0.784,1.0,0.9888888888888888,0.0966422836114289,-0.0160506627752368,0.245699827592,12.933163194444438,0.1421621305467716,-8.157762240288791,0.4633535328229133
Barreiras,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,71.2885,0.0,132.472275,207.23849999999996,61.183775,20.198424654099995,0.468,1.0,0.9666666666666668,0.0620667328135066,-0.0339142311574036,0.229489671884028,12.913011111111109,0.2049452983426011,0.7000909499974014,0.5026116344863376
Barreiras,2022/2023,2,1,0,0.2,0.4,0.4,1.0,2.0,2.0,67.6848,0.0,133.995,207.54857499999997,66.31020000000001,24.689687502100007,0.234,1.0,0.9333333333333332,0.1722119997232274,0.1409690201766958,0.4292858916080002,13.492044722222214,-0.0342724906456104,-5.851205012098672,0.433032782345796
Barreiras,2023/2024,2,2,1,0.16666666666666666,0.3333333333333333,0.5,1.0,2.0,3.0,0.0,0.0,102.2643875,207.55064999999996,102.2643875,74.451862202,0.096,1.0,0.8333333333333334,0.1017541183283035,-0.092934056120383,0.2826581986581851,14.243138611111103,0.058308615861813,-0.0999790529335984,0.3264065280263886
Barreiras,2024/2025,0,2,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0,2.0,4.0,137.84782499999992,0.0,71.2885,207.54857499999997,-66.55932499999992,22.477151925099967,0.798,1.0,0.9333333333333332,0.1206188957958968,-0.0484496736159547,0.3321759848406155,15.080679305555543,-0.3480832022032369,0.8369422809166558,0.2268690014189696
Bom_Jesus,2020/2021,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,137.0279999999999,0.0,70.5455,201.84664999999995,-66.48249999999993,25.172428884799988,0.752,1.0,0.9222222222222224,0.2114428874332288,-0.0671767873480986,0.3918059549848436,15.523336944444436,0.0850238957550829,0.61493856155417,0.4708855040228755
Bom_Jesus,2021/2022,2,0,0,0.5,0.25,0.25,2.0,1.0,1.0,68.58600000000001,0.0,69.72549999999995,144.19612499999718,1.1394999999999411,11.222300313799993,0.398,1.0,0.9666666666666668,0.1306559146551539,-0.0853397021170034,0.2545080337707319,13.312207222222224,0.1368835502620892,0.8360319640893018,0.4818948567344731
Bom_Jesus,2022/2023,1,0,0,0.4,0.2,0.4,2.0,1.0,2.0,138.44532500000005,0.0,70.5455,203.6925,-67.89982500000002,25.16459542510003,0.784,1.0,0.9777777777777776,0.2211216633987647,0.1640434079818841,0.4243102612963478,12.989735138888893,0.0071737624488869,0.6397818698491573,0.4817208650664903
Bom_Jesus,2023/2024,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,2.0,2.0,0.0,0.0,69.72549999999995,203.6925,69.72549999999995,59.8089815338,0.144,1.0,0.9888888888888888,0.1834926475145133,0.0398910869915414,0.3383808357257556,12.010126944444442,0.0298946468340394,0.5679956579696717,0.3403977977287957
Bom_Jesus,2024/2025,1,2,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,2.0,2.0,3.0,67.395025,0.0,69.1415,203.6925,1.7464749999999896,10.378529680299998,0.312,1.0,0.9777777777777776,0.1312853108603179,0.0081467208509877,0.2803292039876228,12.966508749999996,0.1210789960944399,0.8460045132366967,0.5247930460420227
Campos_Lindos,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,67.95399999999995,0.0,0.0,68.96350000000002,-67.95399999999995,36.83563462549997,0.882,1.0,0.8777777777777778,0.183262698700116,0.1399248493660629,0.6483775461848087,10.72389763888888,0.1267976239418869,0.4579327982826618,0.2902705186558786
Campos_Lindos,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,0.0,0.0,0.0,68.22387499999996,0.0,4.250478445499997,0.748,1.0,1.0,0.4232860842986492,-0.0985245400950003,0.455229683244211,4.764483888888887,0.0491565907054881,0.9374506512420168,0.7487609640454114
Campos_Lindos,2022/2023,1,1,1,0.2,0.4,0.4,1.0,2.0,2.0,0.0,0.0,0.0,68.63950000000003,0.0,3.4226079037999977,0.774,1.0,1.0,-0.1744502742094853,-0.3887291517669915,0.0277195972396497,10.861999166666674,0.2347354769585251,,0.7943233293426453
Campos_Lindos,2023/2024,0,1,0,0.16666666666666666,0.5,0.3333333333333333,1.0,3.0,2.0,0.0,0.0,0.0,68.20199999999998,0.0,3.4254139583999983,0.774,1.0,1.0,0.3754660654692003,0.2344174497191826,0.5200293077728627,5.474393750000004,0.2575835633781121,,0.7907801904942984
Campos_Lindos,2024/2025,2,1,0,0.2857142857142857,0.42857142857142855,0.2857142857142857,2.0,3.0,2.0,0.0,0.0,0.0,68.20199999999998,0.0,3.0147601533999997,0.788,1.0,1.0,0.0028670915688806,-3.878837732140168,0.290318218360869,4.586026249999999,0.2065671865312689,,0.8128924269348468
Correntina,2020/2021,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,207.3525,0.0,137.268675,268.752,-70.08382499999996,37.16290449259998,0.794,1.0,0.9555555555555556,0.1672893188270209,0.0499268875803761,0.3400733218823283,13.42511166666667,0.1143193528538677,0.4364774329186097,0.4846464671434154
Correntina,2021/2022,2,0,0,0.5,0.25,0.25,2.0,1.0,1.0,68.82650000000001,0.0,137.53073749999993,268.752,68.70423749999992,38.1982632407,0.254,1.0,0.9888888888888888,0.2042059979717764,0.1048093002167148,0.3647243388062394,13.04808069444444,0.0386959545345844,0.7242520303719155,0.4350738272304993
Correntina,2022/2023,0,0,1,0.4,0.2,0.4,2.0,1.0,2.0,205.274225,0.0,136.26700000000002,268.752,-69.00722499999995,40.66498426659999,0.728,1.0,0.9,0.1728979210682537,0.1304620846880732,0.4230641223181344,14.637991111111107,-0.1347224360698724,0.7019738931770391,0.4185717032944989
Correntina,2023/2024,0,0,1,0.5,0.16666666666666666,0.3333333333333333,3.0,1.0,2.0,70.166,0.0,137.54694999999995,212.8155,67.38094999999996,36.0342643976,0.328,1.0,0.9444444444444444,-0.0324432961639951,-0.2584285724311843,0.0775230724724675,14.974309027777768,0.0925640566646522,0.7332933328255922,0.4564678845780389
Correntina,2024/2025,0,0,1,0.5714285714285714,0.14285714285714285,0.2857142857142857,4.0,1.0,2.0,138.25959999999998,0.0,137.01349999999996,212.8155,-1.2461000000000126,19.733683988700008,0.56,1.0,0.9,0.262134351548994,0.0959558672092624,0.4603828894399904,13.27259777777778,-0.0730170585527978,0.7101976692567287,-5.925440955150623
Formosa_do_Rio_Preto,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,137.85450000000003,0.0,70.93799999999999,205.2259,-66.91650000000004,25.01439724720004,0.772,1.0,0.9666666666666668,0.0587174630859093,-0.0533497866614574,0.2086292141382077,13.69055069444445,0.0032484796209434,0.6418045916101637,0.3425107198626937
