class,scheme,AUC,AUC_boot_median,AUC_CI95_lo,AUC_CI95_hi,n_pos,n_neg
dry,one-vs-rest,0.5291375291375291,0.5242991657465341,0.28568524970964,0.7645219298245612,11,39
normal,one-vs-rest,0.4288194444444444,0.43678160919540227,0.28689884737678856,0.5983928253119429,18,32
wet,one-vs-rest,0.2200328407224959,0.23349436392914658,0.08654614786034565,0.3981182266009852,21,29
dry,dry-vs-rest,0.5291375291375291,0.5242991657465341,0.28568524970964,0.7645219298245612,11,39
