class,support,precision,recall,F1
dry,11,0.2777777777777778,0.45454545454545453,0.3448275862068966
normal,18,0.30434782608695654,0.3888888888888889,0.34146341463414637
wet,21,0.3333333333333333,0.14285714285714285,0.2
